 AATS6dv, AATS6i, ATSC4c, ATSC8d, ATSC7s, ATSC8s, ATSC3Z, ATSC6m, ATSC5v, ATSC6i, AATSC2c, MATS8d, MATS3i, GATS3se, GATS8se, BCUTd-1l, Xc-6d, SssCH2, SdsCH, SaaNH, SdsN, SsssN, AETA_eta_B, BIC1, PEOE_VSA2, SMR_VSA9, SlogP_VSA4, SlogP_VSA11, EState_VSA3, EState_VSA6, n5AHRing, n6AHRing,ln(gamma), Total mean interaction energy in the mix (H_int)  , H-Bond interaction energy in the mix (H_HB)       ,Solvent_density,M+1,Dipole moment t_value,"PKA(25,MeCN)",Sulfur Count,true_values
3.1875,165.1668142,0.172517933,-2.983398438,32.1705797,-3.395229763,-98.11328125,112.1949412,197.5709403,-4.138026121,0.00179049,-0.118085888,-0.348218855,0.850036487,0.967631935,0.972575546,0.11785113,-0.564220207,0,0,0,0,0.040376484,0.626558127,9.589074368,0,5.414990469,0,0,0,0,0,0.19,1.49,-2.76,457.6,220.12,7.46,23.15,0,-0.9
0,176.4843011,0.126160436,0,2.371358025,0,-33.35555556,-51.31485016,111.6294222,0.917751682,0.005159385,0,-0.381848873,1.133727686,0,0.973020142,0,0,0,0,0,0,0.012187012,0.731389739,9.778515705,0,0,0,5.563451492,18.32957771,0,0,-0.2,-0.07,-1.19,472.68,123.06,2.95,12.91,0,0.76
0.25,173.880392,-0.088082439,0.979591837,-3.845112119,3.97297808,2.188208617,-133.4016533,-158.8574536,0.491842533,-0.003458996,0.52173913,-0.147566051,0.752945508,0,0.957468529,0,-0.296712963,0.509490741,0,0,0,0.017692192,0.785769641,9.778515705,5.749511833,6.9237372,5.749511833,17.54354001,6.9237372,0,0,0.32,0.24,-1.52,468.09,168.07,3.53,18.08,0,1.03
1.734567901,166.7269309,-0.046980615,-2.05078125,-22.89897736,-9.19048595,-119.0976563,-237.5049633,61.80813629,-0.075775582,0.008268516,-0.104895105,-0.135185248,0.866324459,1.408415701,0.972732864,0,3.845615473,0,0,0,0,0.01559436,0.604003741,4.794537184,0,0,0,5.24993803,0,2,0,-1.32,-0.66,-1.95,477.61,245.1,8.59,24.78,1,-1.01
0.161290323,177.1902261,-0.028650264,0.816635161,-1.199747952,2.913673598,17.58601134,11.49920927,-346.7241264,4.77320257,-0.002874795,0.455696203,-0.145422918,0.711448463,0,0.987195476,0,-0.512083333,0,0,0,0,0.017692192,0.681116231,4.983978521,5.749511833,6.9237372,5.749511833,16.82083098,6.9237372,0,0,-0.46,-0.41,-1.73,474.32,170.08,9.44,32,0,1.55
0.131578947,179.4300786,-0.032445096,0.75,0.31095679,2.224537037,32.375,21.12397806,-584.0220389,7.833745733,-0.002212837,0.428571429,-0.144951059,0.724290571,0,0.987195476,0,0.067916667,0,0,0,0,0.017692192,0.739481354,4.983978521,5.749511833,6.9237372,5.749511833,16.82083098,6.9237372,0,0,-0.41,-0.4,-1.81,475.34,169.1,2.37,18.04,0,1.31
0,177.1021883,0.151025456,0,1.714852608,0,-13.7755102,-76.6296337,87.63283563,1.334100288,0.005260814,0,-0.379721407,0.847877558,0,0.973020142,0,0,0,0,0,0,0.012187012,0.741756556,4.983978521,0,0,0,0,6.066367068,0,0,1.42,0.98,-1.28,456.28,124.04,0.88,20.67,0,0.68
0,0,-0.236620168,0,0,0,-18,0,67.98162166,0,0.006468421,0,0.006970328,1.129796281,0,0.972632812,0,-0.277777778,0,0,0,0,0.02883159,0.879588002,4.794537184,0,0,0,0,0,0,0,0.42,1.18,-1.56,456.28,76.04,1.77,14.8,0,-0.68
0,0,-0.30022874,0,0,0,-26.59171598,0,158.9867697,0,0.004487178,0,-0.14514645,0.920776784,0,0.972646359,0,0,0,0,0,0,0.045246525,0.792124497,4.794537184,0,0,0,0,0,0,0,0.84,1.55,-1.5,456.28,90.06,1.93,15.51,0,0.12
0,182.680959,-0.24331288,0,3.942493113,0,-48.6446281,-337.5327443,-268.03203,6.871025529,0.002007326,0,-0.212960887,0.679664772,0,0.972731778,0,0.550925926,0,0,0,0,0.041959145,0.62062755,4.794537184,0,5.917906046,0,12.33872767,0,0,0,1.58,2.22,-1.29,459.8,132.1,1.75,23.12,0,0.61
0,183.2401322,-0.209198299,0,1.971246556,0,6.355371901,-58.304556,156.045456,5.019871431,0.001658985,0,-0.15732088,0.65697235,0,0.972768313,0,0.812962963,0,0,0,0,0.035865639,0.62062755,4.794537184,0,5.917906046,0,0,0,0,0,1.68,2.28,-1.26,458.83,132.1,1.86,24.73,0,0.5
0,184.917652,-0.199833488,0,0,0,-24.69806094,159.6102385,98.21667068,1.908520432,0.002101277,0,-0.306526793,0.701902819,0,0.972749626,0,0,0,0,0,0,0.045099444,0.653081601,4.794537184,0,5.917906046,0,0,13.8474744,0,0,1.05,2.27,-0.96,456.28,118.09,7.95,13.49,0,0.43
0,184.917652,-0.108799162,0,0,0,-17.88581315,132.9164847,-146.3597532,1.589333047,0.00115071,0,-0.023246745,0.687687689,0,0.973022712,0,2.64212963,0,0,0,0,0.013710389,0.674795376,4.794537184,0,0,0,0,0,1,0,1.16,0.95,-1.39,456.28,116.07,3.61,21.36,0,0.62
